Time[s];Supply_P[bar];R1_P[bar];EPU_P[bar];T1_P[bar]
0.2617;10.0000;0.0000;0.0000;0.0000
0.2630;10.0000;0.0000;0.0000;0.0000
0.2642;10.0000;0.0000;0.0000;0.0000
0.2655;10.0000;0.0000;0.0000;0.0000
0.2667;10.0000;0.0000;0.0000;0.0000
0.2680;10.0000;0.0000;0.0000;0.0000
0.2692;10.0000;0.0000;0.0000;0.0000
0.2705;10.0000;0.0000;0.0000;0.0000
0.2717;10.0000;0.0000;0.0000;0.0000
0.2730;10.0000;0.0000;0.0000;0.0000
0.2742;10.0000;0.0000;0.0000;0.0000
0.2755;10.0000;0.0000;0.0000;0.0000
0.2767;10.0000;0.0000;0.0000;0.0000
0.2780;10.0000;0.0000;0.0000;0.0000
0.2792;10.0000;0.0000;0.0000;0.0000
0.2805;10.0000;0.0000;0.0000;0.0000
0.2817;10.0000;0.0000;0.0000;0.0000
0.2830;10.0000;0.0000;0.0000;0.0000
0.2842;10.0000;0.0000;0.0000;0.0000
0.2855;10.0000;0.0000;0.0000;0.0000
0.2867;10.0000;0.0000;0.0000;0.0000
0.2880;10.0000;0.0000;0.0000;0.0000
0.2892;10.0000;0.0000;0.0000;0.0000
0.2905;10.0000;0.0000;0.0000;0.0000
0.2917;10.0000;0.0000;0.0000;0.0000
0.2930;10.0000;0.0000;0.0000;0.0000
0.2942;10.0000;0.0000;0.0000;0.0000
0.2955;10.0000;0.0000;0.0000;0.0000
0.2967;10.0000;0.0000;0.0000;0.0000
0.2980;10.0000;0.0000;0.0000;0.0000
0.2992;10.0000;0.0000;0.0000;0.0000
0.3005;10.0000;0.0000;0.0000;0.0000
0.3017;10.0000;0.0000;0.0000;0.0000
0.3030;10.0000;0.0000;0.0000;0.0000
0.3042;10.0000;0.0000;0.0000;0.0000
0.3055;10.0000;0.0000;0.0000;0.0000
0.3067;10.0000;0.0000;0.0000;0.0000
0.3080;10.0000;0.0000;0.0000;0.0000
0.3092;10.0000;0.0000;0.0000;0.0000
0.3105;10.0000;0.0000;0.0000;0.0000
0.3117;10.0000;0.0000;0.0000;0.0000
0.3130;10.0000;0.0000;0.0000;0.0000
0.3142;10.0000;0.0000;0.0000;0.0000
0.3155;10.0000;0.0000;0.0000;0.0000
0.3167;10.0000;0.0000;0.0000;0.0000
0.3180;10.0000;0.0000;0.0000;0.0000
0.3192;10.0000;0.0000;0.0000;0.0000
0.3205;10.0000;0.0000;0.0000;0.0000
0.3217;10.0000;0.0000;0.0000;0.0000
0.3230;10.0000;0.0000;0.0000;0.0000
0.3242;10.0000;0.0000;0.0000;0.0000
0.3255;10.0000;0.0000;0.0000;0.0000
0.3267;10.0000;0.0000;0.0000;0.0000
0.3280;10.0000;0.0000;0.0000;0.0000
0.3292;10.0000;0.0000;0.0000;0.0000
0.3305;10.0000;0.0000;0.0000;0.0000
0.3317;10.0000;0.0000;0.0000;0.0000
0.3330;10.0000;0.0000;0.0000;0.0000
0.3342;10.0000;0.0000;0.0000;0.0000
0.3355;10.0000;0.0000;0.0000;0.0000
0.3367;10.0000;0.0000;0.0000;0.0000
0.3380;10.0000;0.0000;0.0000;0.0000
0.3392;10.0000;0.0000;0.0000;0.0000
0.3405;10.0000;0.0000;0.0000;0.0000
0.3417;10.0000;0.0000;0.0000;0.0000
0.3430;10.0000;0.0000;0.0000;0.0000
0.3442;10.0000;0.0000;0.0000;0.0000
0.3455;10.0000;0.0000;0.0000;0.0000
0.3467;10.0000;0.0000;0.0000;0.0000
0.3480;10.0000;0.0000;0.0000;0.0000
0.3492;10.0000;0.0000;0.0000;0.0000
0.3505;10.0000;0.0000;0.0000;0.0000
0.3517;10.0000;0.0000;0.0000;0.0000
0.3530;10.0000;0.0000;0.0000;0.0000
0.3542;10.0000;0.0000;0.0000;0.0000
0.3555;10.0000;0.0000;0.0000;0.0000
0.3567;10.0000;0.0000;0.0000;0.0000
0.3580;10.0000;0.0000;0.0000;0.0000
0.3592;10.0000;0.0000;0.0000;0.0000
0.3605;10.0000;0.0000;0.0000;0.0000
0.3617;10.0000;0.0000;0.0000;0.0000
0.3630;10.0000;0.0000;0.0000;0.0000
0.3642;10.0000;0.0000;0.0000;0.0000
0.3655;10.0000;0.0000;0.0000;0.0000
0.3667;10.0000;0.0000;0.0000;0.0000
0.3680;10.0000;0.0000;0.0000;0.0000
0.3692;10.0000;0.0000;0.0000;0.0000
0.3705;10.0000;0.0000;0.0000;0.0000
0.3717;10.0000;0.0000;0.0000;0.0000
0.3730;10.0000;0.0000;0.0000;0.0000
0.3742;10.0000;0.0000;0.0000;0.0000
0.3755;10.0000;0.0000;0.0000;0.0000
0.3767;10.0000;0.0000;0.0000;0.0000
0.3780;10.0000;0.0000;0.0000;0.0000
0.3792;10.0000;0.0000;0.0000;0.0000
0.3805;10.0000;0.0000;0.0000;0.0000
0.3817;10.0000;0.0000;0.0000;0.0000
0.3830;10.0000;0.0000;0.0000;0.0000
0.3842;10.0000;0.0000;0.0000;0.0000
0.3855;10.0000;0.0000;0.0000;0.0000
0.3867;10.0000;0.0000;0.0000;0.0000
0.3880;10.0000;0.0000;0.0000;0.0000
0.3892;10.0000;0.0000;0.0000;0.0000
0.3905;10.0000;0.0000;0.0000;0.0000
0.3917;10.0000;0.0000;0.0000;0.0000
0.3930;10.0000;0.0000;0.0000;0.0000
0.3942;10.0000;0.0000;0.0000;0.0000
0.3955;10.0000;0.0000;0.0000;0.0000
0.3967;10.0000;0.0000;0.0000;0.0000
0.3980;10.0000;0.0000;0.0000;0.0000
0.3992;10.0000;0.0000;0.0000;0.0000
0.4005;10.0000;0.0000;0.0000;0.0000
0.4017;10.0000;0.0000;0.0000;0.0000
0.4030;10.0000;0.0000;0.0000;0.0000
0.4042;10.0000;0.0000;0.0000;0.0000
0.4055;10.0000;0.0000;0.0000;0.0000
0.4067;10.0000;0.0000;0.0000;0.0000
0.4080;10.0000;0.0000;0.0000;0.0000
0.4092;10.0000;0.0000;0.0000;0.0000
0.4105;10.0000;0.0000;0.0000;0.0000
0.4117;10.0000;0.0000;0.0000;0.0000
0.4130;10.0000;0.0000;0.0000;0.0000
0.4142;10.0000;0.0000;0.0000;0.0000
0.4155;10.0000;0.0000;0.0000;0.0000
0.4167;10.0000;0.0000;0.0000;0.0000
0.4180;10.0000;0.0000;0.0000;0.0000
0.4192;10.0000;0.0000;0.0000;0.0000
0.4205;10.0000;0.0000;0.0000;0.0000
0.4217;10.0000;0.0000;0.0000;0.0000
0.4230;10.0000;0.0000;0.0000;0.0000
0.4242;10.0000;0.0000;0.0000;0.0000
0.4255;10.0000;0.0000;0.0000;0.0000
0.4267;10.0000;0.0000;0.0000;0.0000
0.4280;10.0000;0.0000;0.0000;0.0000
0.4292;10.0000;0.0000;0.0000;0.0000
0.4305;10.0000;0.0000;0.0000;0.0000
0.4317;10.0000;0.0000;0.0000;0.0000
0.4330;10.0000;0.0000;0.0000;0.0000
0.4342;10.0000;0.0000;0.0000;0.0000
0.4355;10.0000;0.0000;0.0000;0.0000
0.4367;10.0000;0.0000;0.0000;0.0000
0.4380;10.0000;0.0000;0.0000;0.0000
0.4392;10.0000;0.0000;0.0000;0.0000
0.4405;10.0000;0.0000;0.0000;0.0000
0.4417;10.0000;0.0000;0.0000;0.0000
0.4430;10.0000;0.0000;0.0000;0.0000
0.4442;10.0000;0.0000;0.0000;0.0000
0.4455;10.0000;0.0000;0.0000;0.0000
0.4467;10.0000;0.0000;0.0000;0.0000
0.4480;10.0000;0.0000;0.0000;0.0000
0.4492;10.0000;0.0000;0.0000;0.0000
0.4505;10.0000;0.0000;0.0000;0.0000
0.4517;10.0000;0.0000;0.0000;0.0000
0.4530;10.0000;0.0000;0.0000;0.0000
0.4542;10.0000;0.0000;0.0000;0.0000
0.4555;10.0000;0.0000;0.0000;0.0000
0.4567;10.0000;0.0000;0.0000;0.0000
0.4580;10.0000;0.0000;0.0000;0.0000
0.4592;10.0000;0.0000;0.0000;0.0000
0.4605;10.0000;0.0000;0.0000;0.0000
0.4617;10.0000;0.0000;0.0000;0.0000
0.4630;10.0000;0.0000;0.0000;0.0000
0.4642;10.0000;0.0000;0.0000;0.0000
0.4655;10.0000;0.0000;0.0000;0.0000
0.4667;10.0000;0.0000;0.0000;0.0000
0.4680;10.0000;0.0000;0.0000;0.0000
0.4692;10.0000;0.0000;0.0000;0.0000
0.4705;10.0000;0.0000;0.0000;0.0000
0.4717;10.0000;0.0000;0.0000;0.0000
0.4730;10.0000;0.0000;0.0000;0.0000
0.4742;10.0000;0.0000;0.0000;0.0000
0.4755;10.0000;0.0000;0.0000;0.0000
0.4767;10.0000;0.0000;0.0000;0.0000
0.4780;10.0000;0.0000;0.0000;0.0000
0.4792;10.0000;0.0000;0.0000;0.0000
0.4805;10.0000;0.0000;0.0000;0.0000
0.4817;10.0000;0.0000;0.0000;0.0000
0.4830;10.0000;0.0000;0.0000;0.0000
0.4842;10.0000;0.0000;0.0000;0.0000
0.4855;10.0000;0.0000;0.0000;0.0000
0.4867;10.0000;0.0000;0.0000;0.0000
0.4880;10.0000;0.0000;0.0000;0.0000
0.4892;10.0000;0.0000;0.0000;0.0000
0.4905;10.0000;0.0000;0.0000;0.0000
0.4917;10.0000;0.0000;0.0000;0.0000
0.4930;10.0000;0.0000;0.0000;0.0000
0.4942;10.0000;0.0000;0.0000;0.0000
0.4955;10.0000;0.0000;0.0000;0.0000
0.4967;10.0000;0.0000;0.0000;0.0000
0.4980;10.0000;0.0000;0.0000;0.0000
0.4992;10.0000;0.0000;0.0000;0.0000
0.5002;10.0000;0.0000;0.0000;0.0000
