Time[s];Supply_P[bar];EPU_P[bar];R1_P[bar];R2_P[bar];R3_P[bar];V1_P[bar];V2_P[bar];T1_P[bar]
0.0693;6.0000;0.0000;4.9766;0.0000;0.0000;0.0000;0.0000;0.0000
0.0703;6.0000;0.0000;4.9766;0.0000;0.0000;0.0000;0.0000;0.0000
0.0713;6.0000;0.0000;4.9767;0.0000;0.0000;0.0000;0.0000;0.0000
0.0723;6.0000;0.0000;4.9767;0.0000;0.0000;0.0000;0.0000;0.0000
0.0733;6.0000;0.0000;4.9767;0.0000;0.0000;0.0000;0.0000;0.0000
0.0743;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0753;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0763;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0773;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0783;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0793;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0803;6.0000;0.0000;4.9768;0.0000;0.0000;0.0000;0.0000;0.0000
0.0813;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0823;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0833;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0843;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0853;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0863;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0873;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0883;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0893;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0903;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0913;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0923;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0933;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0943;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0953;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0963;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0973;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0983;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.0993;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1003;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1013;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1023;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1033;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1043;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1053;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1063;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1073;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1083;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1093;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1103;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1113;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1123;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1133;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1143;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1153;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1163;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1173;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1183;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1193;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1203;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1213;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1223;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1233;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1243;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1253;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1263;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1273;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1283;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1293;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1303;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1313;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1323;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1333;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1343;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1353;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1363;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1373;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1383;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1393;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1403;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1413;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1423;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1433;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1443;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1453;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1463;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1473;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1483;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1493;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1503;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1513;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1523;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1533;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1543;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1553;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1563;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1573;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1583;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1593;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1603;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1613;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1623;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1633;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1643;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1653;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1663;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1673;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1683;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1693;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1703;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1713;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1723;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1733;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1743;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1753;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1763;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1773;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1783;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1793;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1803;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1813;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1823;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1833;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1843;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1853;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1863;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1873;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1883;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1893;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
0.1903;6.0000;0.0000;4.9769;0.0000;0.0000;0.0000;0.0000;0.0000
